"RT @webstyleking: ⚽国際親善試合⚽🇯🇵 日本 vs パラグアイ 🇵🇾前半戦キックオフ！！！#daihyo #日本代表 #SAMURAIBLUE #Worldcup","22:05:25"
"RT @gekisaka: 【テキスト速報】日本 22:05 パラグアイhttps://t.co/S2BoO0mB4s #gekisaka #daihyo https://t.co/UGNfR83uSd","22:05:26"
"RT @sn_soccer: 日本代表、スタメン発表！　GK：東口、DF：植田、昌子、遠藤、酒井高、MF：柴崎、香川、乾、山口（C）、FW：岡崎、武藤 （フォーメーションは予想です）速報⇒https://t.co/A1Ab8dtm5V#daihyo #サッカー日本代表 #日…","22:05:26"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:26"
"ラスト強化試合、何かしらの結果を見せてください🙏 #daihyo","22:05:26"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:27"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:28"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:28"
"今のユニフォームこれまでの中だとかなりかっこいい方だよねw#daihyo #日本代表 #パラグアイ","22:05:28"
"（　◜◡◝　）ｵｰｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗﾊﾞﾓﾆｨｯﾎﾟｰｗｗｗｗｗｗｗｗｗｗｗｗﾆｨｯﾎﾟｰｗｗｗｗｗｗｗｗｗｗｗｗﾆｨｯﾎﾟｰｗｗｗｗｗｗｗｗｗｗｗｗﾆｨｯﾎﾟｗｗｗｵｲｗｗｗｗｗｵｲｗｗｗｗｗｗｵｲｵｲｵｲｵｲｗｗｗｗｗｗｗｗｗｗ #daihyo #ntv","22:05:29"
"日本vsパラグアイ、キックオフ！ #JFA #daihyo","22:05:29"
"一応視てます。#日本代表 #daihyo","22:05:29"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:30"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:30"
"なんか声が黄色いんだけど#daihyo","22:05:30"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:31"
"すげー！#daihyo https://t.co/AUOZuWv2gs","22:05:32"
"RT @gekisaka: 【テキスト速報】日本 22:05 パラグアイhttps://t.co/S2BoO0mB4s #gekisaka #daihyo https://t.co/UGNfR83uSd","22:05:32"
"パラグアイといえばチラベルト。キーパーに注意！！ #daihyo","22:05:33"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:34"
"RT @ultrasoccer: 【速報】国際親善試合《試合開始》 🇯🇵日本 0-0 パラグアイ🇵🇾 テキスト中継中⇒ https://t.co/3nDZkThBtm#パラグアイ代表 #daihyo #日本代表 #超WS https://t.co/P1K62fWU…","22:05:35"
"攻撃面で見れば香川と乾に左サイドバック高徳ってのは良いと思う。乾の後ろには長友より高徳の方が合うとは思う。#daihyo","22:05:35"
"パラグアイ戦ハジマタ  #daihyo","22:05:36"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:36"
"日本 - パラグアイ戦みる。 #soccer #daihyo","22:05:37"
"RT @sn_soccer: 日本代表、スタメン発表！　GK：東口、DF：植田、昌子、遠藤、酒井高、MF：柴崎、香川、乾、山口（C）、FW：岡崎、武藤 （フォーメーションは予想です）速報⇒https://t.co/A1Ab8dtm5V#daihyo #サッカー日本代表 #日…","22:05:37"
"浦和のフラッグ見つけ！#urawareds #daihyo","22:05:37"
"RT @foot_ch: 【日本代表】パラグアイ戦スタメン発表!!▼GK東口順昭▼DF昌子源植田直通遠藤航酒井高徳▼MF山口蛍（C）柴崎岳乾貴士香川真司▼FW武藤嘉紀岡崎慎司#daihyo #日本代表","22:05:39"
"RT @FootballTribeJP: 【前半キックオフ！】国際親善試合🇯🇵日本代表 0-0 パラグアイ代表🇵🇾#daihyo #SAMURAIBLUE","22:05:39"
"RT @jfa_samuraiblue: 【#SAMURAI BLUE スタメン発表！】GK東口、DF遠藤、植田、昌子、酒井(高)、MF柴崎、山口、武藤、香川、乾、FW岡崎6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co…","22:05:40"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:40"
"（　◜◡◝　）ｵｰｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗﾊﾞﾓﾆｨｯﾎﾟｰｗｗｗｗｗｗｗｗｗｗｗｗﾆｨｯﾎﾟｰｗｗｗｗｗｗｗｗｗｗｗｗﾆｨｯﾎﾟｰｗｗｗｗｗｗｗｗｗｗｗｗﾆｨｯﾎﾟｗｗｗｵｲｗｗｗｗｗｵｲｗｗｗｗｗｗｵｲｵｲｵｲｵｲｗｗｗｗｗｗｗｗｗｗ #daihyo #全員戦力外","22:05:40"
"日本🇯🇵vsパラグアイ🇵🇾、キックオフ！！最後のテストマッチ#soccer   #daihyo  ⚽️","22:05:41"
"今日のパラグアイ戦は日テレ放送。相変わらず解説が頓珍漢ですな #daihyo","22:05:41"
